id,position
7,27.0
14,75.0
21,67.0
28,-64.0
35,80.0
42,58.0
49,49.0
56,42.0
63,76.0
70,47.0
77,129.0
84,-129.0
91,56.0
98,15.0
105,50.0
112,-61.0
119,78.0
126,-78.0
133,80.0
140,85.0
147,42.0
154,-109.0
161,72.0
168,98.0
175,118.0
182,-58.0
189,33.0
196,-96.0
203,58.0
210,111.0
217,65.0
224,-11.0
231,68.0
238,91.0
245,10.0
252,80.0
259,61.0
266,101.0
273,74.0
280,40.0
287,40.0
294,109.0
301,109.0
308,87.0
315,96.0
322,72.0
329,40.0
336,40.0
343,52.0
350,66.0
357,61.0
364,-66.0
371,36.0
378,90.0
385,82.0
392,69.0
399,91.0
406,56.0
413,99.0
420,100.0
427,83.0
434,45.0
441,101.0
448,81.0
455,-76.0
462,47.0
469,124.0
476,109.0
483,-92.0
490,29.0
497,-64.0
504,98.0
511,-38.0
518,-31.0
525,-14.0
532,92.0
539,-112.0
546,-83.0
553,77.0
560,61.0
567,51.0
574,136.0
581,-115.0
588,88.0
595,-103.0
602,-139.0
609,108.0
616,84.0
623,99.0
630,117.0
637,-50.0
644,-112.0
651,62.0
658,87.0
665,26.0
672,125.0
679,125.0
686,68.0
693,-58.0
700,47.0
707,48.0
714,-47.0
721,143.0
728,-88.0
735,106.0
742,81.0
749,34.0
756,105.0
763,116.0
770,-116.0
777,119.0
784,53.0
791,-119.0
798,64.0
805,-108.0
812,-76.0
819,-52.0
826,-156.0
833,90.0
840,88.0
847,87.0
854,83.0
861,27.0
868,96.0
875,112.0
882,86.0
889,-119.0
896,126.0
903,-141.0
910,46.0
917,69.0
924,-147.0
931,-101.0
938,77.0
945,102.0
952,67.0
959,-69.0
966,121.0
973,159.0
980,54.0
987,14.0
994,-27.0
1001,-41.0
1008,72.0
1015,88.0
1022,20.0
1029,128.0
1036,-88.0
1043,109.0
1050,61.0
1057,114.0
1064,130.0
1071,126.0
1078,65.0
1085,64.0
1092,126.0
1099,26.0
1106,113.0
1113,66.0
1120,36.0
1127,25.0
1134,62.0
1141,65.0
1148,39.0
1155,31.0
1162,32.0
1169,91.0
1176,59.0
1183,24.0
1190,76.0
1197,115.0
1204,-75.0
1211,76.0
1218,13.0
1225,48.0
1232,11.0
1239,58.0
1246,87.0
1253,78.0
1260,81.0
1267,40.0
1274,34.0
1281,59.0
1288,-67.0
1295,-67.0
1302,42.0
1309,63.0
1316,-81.0
1323,81.0
1330,28.0
1337,100.0
1344,12.0
1351,50.0
1358,74.0
1365,73.0
1372,85.0
1379,35.0
1386,28.0
1393,108.0
1400,17.0
1407,79.0
1414,66.0
1421,93.0
1428,17.0
1435,104.0
1442,73.0
1449,98.0
1456,18.0
1463,105.0
1470,106.0
1477,25.0
1484,23.0
1491,66.0
1498,97.0
1505,63.0
1512,-95.0
1519,-101.0
1526,80.0
1533,69.0
1540,20.0
1547,-43.0
1554,33.0
1561,87.0
1568,44.0
1575,14.0
1582,12.0
1589,93.0
1596,107.0
1603,95.0
1610,-110.0
1617,42.0
1624,63.0
1631,26.0
1638,112.0
1645,63.0
1652,73.0
1659,-24.0
1666,71.0
1673,133.0
1680,133.0
1687,-56.0
1694,-117.0
1701,-52.0
1708,-81.0
1715,-104.0
1722,64.0
1729,65.0
1736,-71.0
1743,84.0
1750,59.0
1757,129.0
1764,24.0
1771,-159.0
1778,114.0
1785,90.0
1792,-87.0
1799,45.0
1806,-17.0
1813,98.0
1820,12.0
1827,75.0
1834,35.0
1841,110.0
1848,50.0
1855,109.0
1862,25.0
1869,-112.0
1876,106.0
1883,-24.0
1890,-31.0
1897,-31.0
1904,40.0
1911,106.0
1918,-121.0
1925,103.0
1932,107.0
1939,-121.0
1946,105.0
1953,73.0
1960,73.0
1967,35.0
1974,57.0
1981,-34.0
1988,-63.0
1995,32.0
2002,111.0
2009,109.0
2016,85.0
2023,-40.0
2030,9.0
2037,83.0
2044,65.0
2051,114.0
2058,94.0
2065,96.0
2072,116.0
2079,-110.0
2086,97.0
2093,125.0
2100,40.0
2107,98.0
2114,106.0
2121,56.0
2128,59.0
2135,88.0
2142,90.0
2149,-53.0
2156,107.0
2163,48.0
2170,4.0
2177,65.0
2184,29.0
2191,-117.0
2198,117.0
2205,25.0
2212,-145.0
2219,142.0
2226,57.0
2233,126.0
2240,78.0
2247,-116.0
2254,-11.0
2261,-57.0
2268,65.0
2275,18.0
2282,96.0
2289,77.0
2296,106.0
2303,-46.0
2310,92.0
2317,20.0
2324,120.0
2331,88.0
2338,122.0
2345,78.0
2352,-79.0
2359,-126.0
2366,45.0
2373,138.0
2380,75.0
2387,52.0
2394,-120.0
2401,-120.0
2408,67.0
2415,96.0
2422,145.0
2429,86.0
2436,-86.0
2443,101.0
2450,100.0
2457,69.0
2464,134.0
2471,123.0
2478,126.0
2485,-132.0
2492,123.0
2499,118.0
2506,93.0
2513,39.0
2520,17.0
2527,-96.0
2534,58.0
2541,113.0
2548,117.0
2555,48.0
2562,-114.0
2569,61.0
2576,47.0
2583,62.0
2590,90.0
2597,74.0
2604,65.0
2611,49.0
2618,-77.0
2625,78.0
2632,54.0
2639,70.0
